id,user,likes,dislikes,followers
2,skilmurray1,4518,3020,12740
12,acalcottb,4581,2999,12754
15,dlabese,4273,4648,10457
20,dgannanj,4608,4704,10212
24,asummersiden,4385,4631,12460
25,hdaykino,4284,3264,15543
26,pmingop,4668,2771,16742
31,mmaxweellu,4497,4414,15829
37,loates10,4738,4076,15065
41,hdominetti14,4374,2665,18812
45,jdressell18,4106,2138,19060
46,aferneyhough19,4021,3703,14119
48,ahodgins1b,4416,3868,15534
50,lbarribal1d,4252,2932,11723
51,jnorsworthy1e,4426,2214,10203
52,scawse1f,4296,2945,19239
64,snoller1r,4093,3566,10680
65,cfriday1s,4587,4082,10570
69,gletts1w,4553,3212,17863
73,cdmitrievski20,4567,2594,16740
79,kklemencic26,4160,4734,11477
92,udubock2j,4393,4195,11951
99,apetrecz2q,4501,4130,11456
