id,user,likes,dislikes,followers
4,mmcsporrin3,2981,3405,18478
5,htacker4,2617,2909,10002
7,epetr6,3052,3128,10758
9,mlumly8,2490,3553,10439
17,dgifkinsg,2409,3341,18632
19,dmayoi,2614,3757,15729
20,dgannanj,2080,3785,13613
27,jlysterq,3018,3644,16991
28,rkinghornr,3030,4603,11157
29,gmerrgans,2895,3346,12360
31,mmaxweellu,2212,4175,16252
33,scroalw,3233,4077,19118
34,nlearnedx,2967,3436,14848
36,flagez,2336,4480,14322
37,loates10,2060,2856,13919
38,ayea11,2265,4560,10847
41,hdominetti14,2946,4543,19936
42,kitzakovitz15,2496,2647,17533
44,ojanu17,2242,2632,16092
47,srowett1a,2698,4413,10191
48,ahodgins1b,3353,3635,14748
49,mboycott1c,2275,4058,17848
51,jnorsworthy1e,2050,2116,14501
52,scawse1f,2456,4461,10105
53,jsaing1g,4277,4641,15007
57,mchastaing1k,2706,4343,19552
59,nkubicek1m,3768,4173,16870
62,akemson1p,3572,3912,15605
65,cfriday1s,2035,3797,12198
66,eantusch1t,2876,3007,12325
67,chintzer1u,2214,3191,14874
68,svasin1v,2191,2758,12649
71,tmckeaney1y,2288,4758,16414
73,cdmitrievski20,3148,4298,13381
75,agehringer22,2813,4193,12275
78,pboyack25,2531,4249,16974
83,wjeavon2a,3045,3340,15662
84,skingston2b,2288,3506,14262
91,wcluff2i,2736,4481,18594
95,tquartermaine2m,4345,4651,15945
100,bgreser2r,3573,4628,17393
